date_of_birth,occupation,facebook,instagram,twitter,tiktok,first_name,last_name,player_gender,total_hoh,total_pov,total_nom,total_misc,votes_received
1984-02-03,Police sergeant,,https://www.instagram.com/derricklevasseur,https://twitter.com/DerrickL,,Derrick,Levasseur,Male,4,0,1,0,0
1990-12-13,Software sales representative,https://www.facebook.com/CodyCalafiore,https://www.instagram.com/codycalafiore,https://twitter.com/Cody_Calafiore,,Cody,Calafiore,Male,3,3,2,0,0
1992-06-16,Photographer Fashion Blogger,https://www.facebook.com/victoriaRphotography,https://www.instagram.com/victoriarpro,https://twitter.com/VictoriaRPhoto,,Victoria,Rafaeli,Female,0,1,10,2,1
1987-11-27,Adventure Hunting Guide,,https://www.instagram.com/bmc_bb16,,,Caleb,Reynolds,Male,4,0,5,2,1
1983-01-24,Actor,https://www.facebook.com/thebigbrothertho,https://www.instagram.com/frankiejgrande,https://twitter.com/FrankieJGrande,,Frankie,Grande,Male,5,0,2,1,2
1991-05-08,Barista,,https://www.instagram.com/meanychristiney,https://twitter.com/MeanyChristiney,,Christine,Brecht,Female,1,2,4,2,3
1971-11-07,School Groundskeeper,,https://www.instagram.com/bb_donny,https://twitter.com/DonnyThompsonBB,,Donny,Thompson,Male,1,3,7,2,5
1993-06-08,Pedicab Driver,,https://www.instagram.com/haydenyah,,,Hayden,Voss,Male,0,1,2,1,5
1992-06-30,Boutique owner,https://www.facebook.com/nic.fran4,https://www.instagram.com/coconuts_,https://twitter.com/nicole_franzel,,Nicole,Franzel,Female,3,0,6,2,12
1990-09-09,Recent College Graduate,https://www.facebook.com/lifecoachzach,https://www.instagram.com/zachrancey,https://twitter.com/LCZPodcast,,Zach,Rance,Male,1,1,4,0,9
1980-08-10,Minister,,https://www.instagram.com/jocasta_odom,https://twitter.com/jocastao,,Jocasta,Odom,Female,0,0,4,1,6
1988-01-13,Esthetician & Model,https://www.facebook.com/AmberNicholBorzotra,https://www.instagram.com/amberborzotra,https://twitter.com/amberborzotra,,Amber,Borzotra,Female,1,0,3,2,9
1985-02-01,Event Coordinator,,https://www.instagram.com/livelovelaugh_repeat,https://twitter.com/brittany_bb16,,Brittany,Martinez,Female,0,0,3,1,10
1987-09-09,Motorcycle Sales Manager,,,https://twitter.com/DevinShepherdBB,,Devin,Shepherd,Male,1,1,1,0,11
1987-05-29,DJ,https://www.facebook.com/djpaolashea,https://www.instagram.com/djpaolashea,https://twitter.com/paolashea,,Paola,Shea,Female,0,0,2,0,10
1987-02-07,Make-Up Artist & Hairstylist,,https://www.instagram.com/joeysdoingyourmakeup,https://twitter.com/JoeyVanPelt1,,Joey,Van Pelt,Female,0,0,1,0,13
