date_of_birth,occupation,facebook,instagram,twitter,tiktok,first_name,last_name,player_gender,total_hoh,total_pov,total_nom,total_misc,votes_received
1994-12-31,Motivational speaker,,https://www.instagram.com/thetaylormack,https://www.twitter.com/TheTayMack,,Taylor,Hale,Female,2,0,6,0,2
1995-05-20,Personal trainer,,https://www.instagram.com/taylord_fit_,,,Monte,Taylor,Male,3,2,2,0,0
1999-05-21,Thrift store owner,,https://www.instagram.com/turnurr,https://www.twitter.com/turnur,,Matt,Turner,Non-binary,3,0,3,0,1
1989-12-03,Hypnotherapist,,https://www.instagram.com/britt.hoopes,,,Brittany,Hoopes,Female,0,4,5,0,1
1997-11-03,Marketing representative,,https://www.instagram.com/alyssasnida,,,Alyssa,Snider,Female,0,0,4,0,2
1993-08-01,Attorney,,https://www.instagram.com/michaelbruner3,https://www.twitter.com/michaelbruner01,,Michael,Bruner,Male,3,6,3,0,3
1975-05-20,Bus operator and DJ,,https://www.instagram.com/theedjshowtime,https://www.twitter.com/TheeDJShowTime,,Terrance,Higgins,Male,1,1,5,0,9
1993-05-17,Unemployed,,https://www.instagram.com/kylecapener,https://www.twitter.com/KyleCapener,,Kyle,Capener,Male,0,2,3,0,6
1997-07-23,Lawyer,,https://www.instagram.com/abdinjoseph,https://www.twitter.com/JosephAbdin,,Joseph,Abdin,Male,0,0,2,0,2
1992-08-16,Entrepreneur,,https://www.instagram.com/thejasminemonroe,https://www.twitter.com/thejasmonroe,,Jasmine,Davis,Female,1,0,1,0,2
1991-03-12,Corporate flight attendant,,https://www.instagram.com/indysantosofficial,https://www.twitter.com/lovindy_,,Indy,Santos,Female,0,0,2,0,7
1987-06-22,Vegas performer,https://www.facebook.com/danieldurston,https://www.instagram.com/danieldurston,https://www.twitter.com/downtowndurston,,Daniel,Durston,Male,1,1,1,0,8
1981-06-07,Private chef,,https://www.instagram.com/thebutchergoddess11,,,Nicole,Layog,Female,0,0,1,0,9
1990-09-19,Content designer,,https://www.instagram.com/ameerous,,,Ameerah,Jones,Female,0,0,1,0,7
1998-07-01,Assistant football coach,,https://www.instagram.com/poochie_maneee,https://www.twitter.com/poochie_maneee,,Pooch,Pucciarelli,Male,0,0,1,0,12
1999-11-13,Interior designer,,https://www.instagram.com/paloma.angeliki,,,Paloma,Aguilar,Female,0,0,0,0,0
