date_of_birth,occupation,facebook,instagram,twitter,tiktok,first_name,last_name,player_gender,total_hoh,total_pov,total_nom,total_misc,votes_received
1995-06-13,Server,,https://www.instagram.com/jackson_michie,,,Jackson,Michie,Male,4,4,3,0,2
1988-01-11,Wine Safari Guide,https://www.facebook.com/holly.allen.98837,https://www.instagram.com/misshollyallen,,,Holly,Allen,Female,2,0,3,0,0
1994-12-26,Podcast host,,https://www.instagram.com/strongislandnicole,https://twitter.com/Strongislandni2,,Nicole,Anthony,Female,0,0,1,0,10
1965-04-24,Petroleum Engineer,,https://www.instagram.com/cliff.hogg,https://twitter.com/cliff_hogg,,Cliff,Hogg III,Male,1,1,6,0,8
1990-08-08,Broadway dancer,https://www.facebook.com/tommy.bracco,https://www.instagram.com/tommybracco,https://twitter.com/TommyBracco,,Tommy,Bracco,Male,1,2,2,0,2
1990-10-20,Boutique Owner,,https://www.instagram.com/christie.murph,,,Christie,Murphy,Female,1,0,5,0,4
1990-07-07,Fitness Trainer,,https://www.instagram.com/kirkwoodmatthews,,,Jack,Matthews,Male,1,0,2,0,8
1992-06-12,Therapist,,https://www.instagram.com/nick.maccarone,,,Nick,Maccarone,Male,1,1,2,0,5
1981-10-14,Model,,https://www.instagram.com/jmilagrosplus,https://twitter.com/jmilagrosplus,,Jessica,Milagros,Female,1,1,3,0,5
1988-02-11,Truck Driver,,https://www.instagram.com/samsmithbb21,https://twitter.com/bb21_sam,,Sam,Smith,Male,0,2,1,0,9
1997-03-10,College Soccer Star,,https://www.instagram.com/analysetalavera,,,Analyse,Talavera,Female,0,0,1,0,5
1990-01-09,Digital Marketing Executive,https://www.facebook.com/kathryn.dunn.37,https://www.instagram.com/katdunn,https://twitter.com/itskathryndunn,,Kathryn,Dunn,Female,0,1,3,0,6
1997-01-23,Public Health Analyst,,https://www.instagram.com/isabellawang,https://twitter.com/BellaWang21,,Isabella,Wang,Female,0,0,1,0,8
1996-11-15,College student,,https://www.instagram.com/ovikabir,https://twitter.com/TheOviKabir,,Ovi,Kabir,Male,0,0,1,0,12
1990-01-01,Senior sales rep,,https://www.instagram.com/iamdavid_alexander,,,David,Alexander,Male,0,0,4,0,5
1993-07-07,Marketing Strategist,,https://www.instagram.com/kisseskemi,https://twitter.com/kisseskemi,,Kemi,Fakunle,Female,0,0,1,0,10
