date_of_birth,occupation,facebook,instagram,twitter,tiktok,first_name,last_name,player_gender,total_hoh,total_pov,total_nom,total_misc,votes_received
1983-09-01,Teacher,https://www.facebook.com/dan.gheesling,https://www.instagram.com/dangheesling,https://twitter.com/DanGheesling,,Dan,Gheesling,Male,3,2,2,0,0
1982-12-06,Restauranteur,https://www.facebook.com/memphis.garrett,https://www.instagram.com/memphisgarrett,https://twitter.com/MemphisGarrett,,Memphis,Garrett,Male,0,3,4,0,3
1933-03-13,Retired Marketing Executive; Retired Marine Corps,,https://www.instagram.com/the_jerry_macdonald,,,Jerry,MacDonald,Male,2,2,5,0,3
1978-08-01,Waitress,https://www.facebook.com/keeshamsmith,https://www.instagram.com/keeshfest,https://twitter.com/KeeshaSmith0801,,Keesha,Smith,Female,2,1,3,0,1
1954-07-29,Beauty Salon Owner,https://www.facebook.com/renny.martyn1,,https://twitter.com/RennyMartyn,,Renny,Martyn,Female,1,0,2,0,3
1980-10-22,Marketing Sales Rep,https://www.facebook.com/bryanollie7,https://www.instagram.com/bryanlollie,,,Bryan,Ollie,Male,0,0,1,0,3
1979-12-29,Real Estate Broker,https://www.facebook.com/MichelleCostaBB10,https://www.instagram.com/michellebb10,https://twitter.com/michellebb10,,Michelle,Costa,Female,1,1,1,0,3
1978-03-24,Financial Manager,https://www.facebook.com/april.dowlingcruise.7,https://www.instagram.com/aprilldowlingcruise,,,April,Dowling,Female,1,0,1,0,4
1976-08-06,Human Resource Rep,https://www.facebook.com/libra.thompson,https://www.instagram.com/librathompson,https://twitter.com/librathompson,,Libra,Thompson,Female,0,0,1,0,6
1986-04-23,Bodybuilder,https://www.facebook.com/cbsbigbrothersuperstarmrpectacular,https://www.instagram.com/mrpec_tacular,https://twitter.com/MrPEC_Tacular,,Jessie,Godderz,Male,1,1,3,0,4
1979-07-02,Pharmaceutical Sales Rep,,https://www.instagram.com/campfire_ninja,,,Angie,Swindell,Female,0,0,1,0,8
1973-05-24,Rodeo Competitor,https://www.facebook.com/stevenfrombb10,,https://twitter.com/StevenExposed,,Steven,Daigle,Male,0,0,1,0,9
1980-08-21,Telecommunications Manager,,https://www.instagram.com/brianhartla,https://twitter.com/brianhartla,,Brian,Hart,Male,0,0,1,0,9
