date_of_birth,occupation,facebook,instagram,twitter,tiktok,first_name,last_name,player_gender,total_hoh,total_pov,total_nom,total_misc,votes_received
1978-08-14,ER Nurse,,,,,Maggie,Ausburn,Female,1,1,4,0,4
1980-02-09,Waitress,https://www.facebook.com/ivette.corredero,https://www.instagram.com/ivette09,https://www.twitter.com/ivette2980,,Ivette,Corredero,Female,2,1,4,0,2
1980-01-10,Real estate agent,https://www.facebook.com/janellepierzina,https://www.instagram.com/janellepierzina,https://www.twitter.com/JanellePierzina,,Janelle,Pierzina,Female,2,2,6,0,3
1974-07-29,Pharmaceutical Sales Rep,,https://www.instagram.com/aprilklewis,https://www.twitter.com/aprilklewis,,April,Lewis,Female,1,1,2,0,2
1971-01-07,Meteorology Student,https://www.facebook.com/HowieGordon,https://www.instagram.com/hurricanehowie,https://www.twitter.com/JediBBHowie,,Howie,Gordon,Male,2,0,3,0,2
1979-12-11,Personal Shopper,,https://www.instagram.com/beaubeasley,https://www.twitter.com/Beautrotting,,Beau,Beasley,Male,1,0,1,0,3
1975-12-06,Loss Prevention Manager,,https://www.instagram.com/jamesrhine,https://www.twitter.com/jamesrhine,,James,Rhine,Male,0,4,4,0,4
1971-12-01,Computer Technician; Horse Breeder,https://www.facebook.com/rachel.plencner.1,https://www.instagram.com/rachel_plencner,,,Rachel,Plencner,Female,1,2,2,0,5
1978-04-08,Arena Football League Dancer,,https://www.instagram.com/hinched2020,https://www.twitter.com/MrsHinchArt,,Jennifer,Vasquez,Female,1,0,1,0,5
1980-08-10,Biotech executive,,https://www.instagram.com/kaysar_ridha,https://www.twitter.com/KaysarRidha,,Kaysar,Ridha,Male,1,0,3,0,16
1982-07-24,Retail Manager,https://www.facebook.com/sarah.hrejsa,https://www.instagram.com/sarahhrejsa,,,Sarah,Hrejsa,Female,0,1,1,0,6
1968-11-21,Firefighter,https://www.facebook.com/eric.s.littmann,,,,Eric,Littmann,Male,1,0,1,0,5
1976-11-05,Artist,https://www.facebook.com/michael.donnellan,,https://www.twitter.com/mdartwork,,Michael,Donnellan,Male,0,0,1,0,9
1983-04-24,Fashion Design Student,,https://www.instagram.com/ashleaevans_,https://www.twitter.com/Ashlea_Evans,,Ashlea,Evans,Female,0,0,1,0,9
