date_of_birth,occupation,facebook,instagram,twitter,tiktok,first_name,last_name,player_gender,total_hoh,total_pov,total_nom,total_misc,votes_received
1975-03-20,Musician,http://www.facebook.com/msjenncity,http://www.instagram.com/jenncity,http://www.twitter.com/msjenncity,,Jenn,Arroyo,Female,0,1,3,0,4
1971-04-16,Chef,,,http://www.twitter.com/JoeArvin,,Joe,Arvin,Male,0,0,5,0,7
1984-04-24,Pharmaceutical Sales Rep,http://www.facebook.com/TheFrankEudy,http://www.instagram.com/thefrankeudy,http://www.twitter.com/Frankeudy,,Frank,Eudy,Male,3,3,6,0,7
1983-09-01,Teacher,http://www.facebook.com/dan.gheesling,http://www.instagram.com/dangheesling,http://www.twitter.com/DanGheesling,,Dan,Gheesling,Male,1,1,3,0,0
1977-10-17,Tankerman,,,,,Willie,Hantz,Male,1,0,0,0,0
1987-08-23,Real estate agent,,http://www.instagram.com/britney_haynes,http://www.twitter.com/britney_haynes,,Britney,Haynes,Female,0,0,1,0,4
1987-07-29,Marketing Consultant,http://www.facebook.com/wil.heuser,http://www.instagram.com/wilheuser,http://www.twitter.com/WilHeuser,,Wil,Heuser,Male,0,0,2,0,6
1985-10-30,Mobile spray tan company owner,http://www.facebook.com/ashleyiocco,http://www.instagram.com/ashleeilauren,http://www.twitter.com/ashleyiocco,,Ashley,Iocco,Female,1,0,1,0,5
1970-07-16,Bar Owner,,,http://www.twitter.com/realMikeBoogie,,Mike,Malin,Male,0,0,1,1,5
1985-12-09,Houseflipper,,,http://www.twitter.com/shanemeaney,,Shane,Meaney,Male,2,4,3,0,1
1983-02-26,Model,http://www.facebook.com/karamonaco,http://www.instagram.com/karamonaco,http://www.twitter.com/KaraMonaco,,Kara,Monaco,Female,0,0,2,0,5
1989-04-23,Nurse,,http://www.instagram.com/danielleagwin,http://www.twitter.com/DanielleAlexisM,,Danielle,Murphree,Female,2,2,6,0,3
1980-01-10,Real estate agent,,http://www.instagram.com/JanellePierzina,http://www.twitter.com/JanellePierzina,,Janelle,Pierzina,Female,0,0,1,2,8
1970-06-29,Server,http://www.facebook.com/JodiRollinsBB14,http://www.instagram.com/jodirollins,http://www.twitter.com/JodisBox,,Jodi,Rollins,Female,0,0,1,0,1
1985-08-27,Bartender,http://www.facebook.com/jojobaby22,http://www.instagram.com/jojospatafora,http://www.twitter.com/JoJoDoll1,,JoJo,Spatafora,Female,0,0,1,0,5
1991-03-19,Management consultant,http://www.facebook.com/ianpterry,http://www.instagram.com/ianpterry14,http://www.twitter.com/TulaneTerry,,Ian,Terry,Male,4,2,2,0,0
