date_of_birth,occupation,facebook,instagram,twitter,tiktok,first_name,last_name,player_gender,total_hoh,total_pov,total_nom,total_misc,votes_received
1998-02-14,Truck company owner,,https://www.instagram.com/thejagbains,https://www.twitter.com/thejagbains,,Jag,Bains,Male,3,7,3,0,12
1996-05-24,Deaflympics gold medalist,,https://www.instagram.com/matt__kz,,,Matt,Klotz,Male,1,2,2,1,0
1977-10-04,Barrister and DJ,,https://www.instagram.com/djbowiejane,https://www.twitter.com/itsdjbowiejane,,Bowie Jane,Ball,Female,3,0,1,0,1
1960-06-18,Real estate agent,https://www.facebook.com/felicia.cannon.9,https://www.instagram.com/felicia.cannon.9,https://www.twitter.com/CannonFeli97812,,Felicia,Cannon,Female,1,0,8,0,2
1970-07-18,Surgical director,,https://www.instagram.com/cirie_fields,https://www.twitter.com/fields_cirie,,Cirie,Fields,Female,0,0,2,0,2
1995-11-28,Medical receptionist,,https://www.instagram.com/adawgg956,https://www.twitter.com/A_dawg956,,America,Lopez,Female,0,0,4,0,3
1998-08-01,Brand strategist,,https://www.instagram.com/bluebeachkim,https://www.twitter.com/bluebeachkim,,Blue,Kim,Female,0,1,4,0,5
2001-09-29,College student,,https://www.instagram.com/corywurtenberger,https://www.twitter.com/corywurtnberger,,Cory,Wurtenberger,Male,1,0,3,0,5
1989-03-06,Stay-at-home dad,,https://www.instagram.com/cameron.h.bb25,,,Cameron,Hardin,Male,3,2,6,0,14
1993-06-30,Political consultant,,https://www.instagram.com/meme_hayes,https://www.twitter.com/Meme_Hayess,,Mecole,Hayes,Female,0,0,1,0,7
1998-03-05,Exterminator,,,https://www.twitter.com/therealjared25,,Jared,Fields,Male,2,1,3,0,6
1990-12-16,Professional flutist,,https://www.instagram.com/bbizzy_makes_art,https://www.twitter.com/flutedyke,,Izzy,Gleicher,Female,0,0,1,0,8
1985-09-05,Salesman,,https://www.instagram.com/smokyredbeard,,,Red,Utley,Male,0,1,1,0,8
1978-03-14,Geriatric physician,,https://www.instagram.com/hisam.goueli,,,Hisam,Goueli,Male,1,2,1,0,11
1999-08-02,Bartender,,https://www.instagram.com/reillysmedley,,,Reilly,Smedley,Female,1,0,1,0,12
1997-11-10,Molecular biologist,,https://www.instagram.com/kirstenvivica,,,Kirsten,Elwin,Female,0,0,1,0,13
1992-12-11,Illustrator,,https://www.instagram.com/realbbluke,,,Luke,Valentine,Male,0,0,0,0,0
