date_of_birth,occupation,facebook,instagram,twitter,tiktok,first_name,last_name,player_gender,total_hoh,total_pov,total_nom,total_misc,votes_received
1986-05-27,College Student,,https://www.instagram.com/haydenmoss11,https://twitter.com/Hayden_Moss,,Hayden,Moss,Male,4,1,2,0,1
1985-10-10,Oil Rig Salesman,,https://www.instagram.com/lane_elenburg,https://twitter.com/Lane_Elenburg,,Lane,Elenburg,Male,1,0,3,0,0
1978-01-16,Insurance Adjuster,,https://www.instagram.com/enzp_,,,Enzo,Palumbo,Male,0,1,3,0,1
1987-08-23,Real estate agent,,https://www.instagram.com/britney_haynes,https://twitter.com/britney_haynes,,Britney,Haynes,Female,1,3,3,0,1
1976-05-09,College Professor,,https://www.instagram.com/raganfox,,,Ragan,Fox,Male,0,2,3,0,2
1980-07-02,High School Swim Coach,https://www.facebook.com/bjvillegas,https://www.instagram.com/brendonvbb12,https://twitter.com/brendonvbb12,,Brendon,Villegas,Male,1,3,4,0,3
1977-07-31,Web Designer,,https://www.instagram.com/gremlin_fx,https://twitter.com/MHMoonves,,Matt,Hoffman,Male,2,1,3,0,6
1970-05-02,Deputy Sheriff,https://www.facebook.com/kathyBB12,,,,Kathy,Hillis,Female,0,0,2,0,5
1984-10-16,TV personality,,https://www.instagram.com/rachelereillyvillegas,,,Rachel,Reilly,Female,2,0,2,0,6
1986-01-07,Boutique Manager,,,https://twitter.com/Kristen_Bitting,,Kristen,Bitting,Female,0,0,1,0,6
1971-04-29,Podiatrist,,,https://twitter.com/Captain_Kosher,,Andrew,Gordon,Male,0,0,1,0,8
1985-09-04,Model,https://www.facebook.com/stunson2,https://www.instagram.com/ms_085,,,Monet,Stunson,Female,0,0,1,0,7
1983-01-26,Bartender,https://www.facebook.com/annetteLwhittington,,https://twitter.com/Annie_BB12,,Annie,Whittington,Female,0,0,1,0,10
